epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1074.6,0.90403,1.1102,1.3799,0.66431,0.70813,0.75348,0.49549,1.08066,1.23017,1.74285,0.000930618,0.000930618,0.000930618
43,1095.49,0.89179,1.08417,1.36891,0.72571,0.79345,0.80262,0.52694,1.04543,0.92753,1.70856,0.000926218,0.000926218,0.000926218
44,1116.29,0.89631,1.0956,1.39593,0.6119,0.62368,0.65773,0.39138,1.20088,1.35105,1.81356,0.000921819,0.000921819,0.000921819
45,1137.16,0.87575,1.13775,1.38229,0.67677,0.68369,0.75993,0.48194,1.12735,1.14751,1.80414,0.000917419,0.000917419,0.000917419
46,1161.21,0.83632,1.08821,1.33508,0.6756,0.60792,0.6839,0.45792,1.08619,1.33143,1.79329,0.00091302,0.00091302,0.00091302
47,1183.23,0.86859,1.07096,1.37656,0.76375,0.53396,0.66916,0.46487,1.01854,1.39387,1.68492,0.00090862,0.00090862,0.00090862
48,1205.48,0.8512,1.09529,1.35222,0.81558,0.6823,0.81378,0.55796,1.0212,0.98162,1.66005,0.000904221,0.000904221,0.000904221
49,1226.39,0.88038,1.06383,1.36155,0.75077,0.70358,0.7765,0.51402,1.09931,1.03018,1.77337,0.000899821,0.000899821,0.000899821
50,1246.92,0.84944,1.07629,1.35467,0.55194,0.78047,0.69127,0.43637,1.08227,1.20395,1.74572,0.000895422,0.000895422,0.000895422
51,1267.75,0.86671,1.0887,1.37425,0.66799,0.72632,0.7483,0.47862,1.03608,1.08966,1.68757,0.000891022,0.000891022,0.000891022
52,1288.48,0.82166,1.01478,1.33705,0.65928,0.69748,0.75831,0.54033,0.96506,1.13413,1.68252,0.000886622,0.000886622,0.000886622
53,1310.61,0.867,1.05817,1.37962,0.76759,0.70359,0.80958,0.56904,0.94333,1.01991,1.59138,0.000882223,0.000882223,0.000882223
54,1333.08,0.87051,1.04842,1.36517,0.52753,0.69959,0.64376,0.42967,0.98478,1.58317,1.66069,0.000877823,0.000877823,0.000877823
55,1353.71,0.84663,0.99572,1.33107,0.79282,0.6897,0.78472,0.54436,0.96054,0.98157,1.61709,0.000873424,0.000873424,0.000873424
56,1377.54,0.83018,0.99697,1.34271,0.73127,0.65381,0.76658,0.50737,1.03303,1.26424,1.68237,0.000869024,0.000869024,0.000869024
57,1398.48,0.82074,0.95016,1.33467,0.70193,0.6791,0.80576,0.54375,0.97129,1.21796,1.65419,0.000864625,0.000864625,0.000864625
58,1420.02,0.81987,0.9876,1.33011,0.8099,0.69623,0.83937,0.55683,1.00346,1.01421,1.69696,0.000860225,0.000860225,0.000860225
59,1441.92,0.84235,0.96759,1.35105,0.75067,0.72999,0.78205,0.53622,1.02029,1.02177,1.69537,0.000855826,0.000855826,0.000855826
60,1463.26,0.85197,0.98584,1.35692,0.6522,0.73802,0.75594,0.50927,0.99868,1.10216,1.63312,0.000851426,0.000851426,0.000851426
61,1483.78,0.85657,0.99621,1.36364,0.82339,0.74635,0.81138,0.56308,0.94539,0.97498,1.61524,0.000847026,0.000847026,0.000847026
62,1504.44,0.80335,0.97021,1.33173,0.78608,0.74681,0.80228,0.54918,0.97812,0.9641,1.63693,0.000842627,0.000842627,0.000842627
63,1524.88,0.83543,0.9417,1.33191,0.80155,0.76458,0.81816,0.54285,1.00909,0.93115,1.69466,0.000838227,0.000838227,0.000838227
64,1545.57,0.84021,0.99681,1.34231,0.64213,0.76455,0.79103,0.52249,0.94274,1.02502,1.59885,0.000833828,0.000833828,0.000833828
65,1567,0.81661,0.94568,1.34607,0.76913,0.67857,0.7562,0.53864,0.93835,1.14853,1.6081,0.000829428,0.000829428,0.000829428
