epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,4030.5,0.54791,0.50323,1.11091,0.85284,0.8101,0.8704,0.60982,0.91714,0.74373,1.65325,0.000323479,0.000323479,0.000323479
181,4053.14,0.54687,0.51911,1.12434,0.83706,0.82822,0.87598,0.62325,0.91507,0.74482,1.6594,0.000319079,0.000319079,0.000319079
182,4074.38,0.57255,0.51169,1.12608,0.82835,0.83239,0.8681,0.62044,0.91561,0.7518,1.63981,0.00031468,0.00031468,0.00031468
183,4095.23,0.55252,0.49031,1.11473,0.86113,0.8148,0.8722,0.63717,0.89566,0.74151,1.63229,0.00031028,0.00031028,0.00031028
184,4118.84,0.54699,0.48653,1.11184,0.83579,0.86897,0.87294,0.62031,0.94726,0.74257,1.67162,0.000305881,0.000305881,0.000305881
185,4139.41,0.54264,0.4921,1.11365,0.80146,0.82393,0.84436,0.58364,1.01271,0.76876,1.78066,0.000301481,0.000301481,0.000301481
186,4160.07,0.5404,0.50842,1.11182,0.83386,0.79124,0.84751,0.60242,0.96559,0.73465,1.71984,0.000297081,0.000297081,0.000297081
187,4182.52,0.55116,0.49691,1.12889,0.79596,0.85945,0.86512,0.61167,0.92595,0.70416,1.65538,0.000292682,0.000292682,0.000292682
188,4203.7,0.51699,0.46042,1.10192,0.80832,0.85246,0.86894,0.61197,0.92123,0.71738,1.66575,0.000288282,0.000288282,0.000288282
189,4224.61,0.54224,0.48418,1.10674,0.81484,0.79553,0.84876,0.58498,1.02003,0.77221,1.7487,0.000283883,0.000283883,0.000283883
190,4245.16,0.51977,0.45549,1.10279,0.82493,0.86492,0.89147,0.62949,0.96715,0.69319,1.73053,0.000279483,0.000279483,0.000279483
191,4265.65,0.51131,0.45248,1.09519,0.83639,0.83747,0.88993,0.63187,0.93743,0.6818,1.67738,0.000275084,0.000275084,0.000275084
192,4287.81,0.53182,0.47817,1.11486,0.84523,0.81953,0.88339,0.63792,0.91667,0.69493,1.63936,0.000270684,0.000270684,0.000270684
193,4310.56,0.52409,0.46324,1.10542,0.8557,0.83942,0.88456,0.62643,0.94308,0.74342,1.69626,0.000266284,0.000266284,0.000266284
194,4334.38,0.51978,0.46413,1.10768,0.87407,0.80294,0.8915,0.61912,0.96919,0.65679,1.69806,0.000261885,0.000261885,0.000261885
195,4355.08,0.53331,0.4932,1.11942,0.85611,0.82175,0.88663,0.62905,0.93758,0.68686,1.66889,0.000257485,0.000257485,0.000257485
196,4377.14,0.51547,0.48114,1.10309,0.75339,0.8292,0.83773,0.60748,0.96347,0.76532,1.72058,0.000253086,0.000253086,0.000253086
197,4399.41,0.52063,0.4698,1.08984,0.7906,0.82948,0.87394,0.63331,0.95191,0.73347,1.67936,0.000248686,0.000248686,0.000248686
198,4420.97,0.52586,0.46898,1.10465,0.86469,0.80969,0.88469,0.6488,0.90987,0.6885,1.67042,0.000244287,0.000244287,0.000244287
199,4441.87,0.52596,0.47539,1.11428,0.81524,0.83205,0.89298,0.64982,0.91005,0.64435,1.64945,0.000239887,0.000239887,0.000239887
200,4462.93,0.52554,0.48632,1.11026,0.81944,0.83014,0.90268,0.65039,0.9159,0.65352,1.64629,0.000235488,0.000235488,0.000235488
201,4483.58,0.52943,0.49582,1.11092,0.83727,0.81971,0.89238,0.63501,0.92397,0.70676,1.65108,0.000231088,0.000231088,0.000231088
202,4506.69,0.51123,0.47079,1.10751,0.84985,0.80448,0.88314,0.62624,0.93423,0.7065,1.65844,0.000226688,0.000226688,0.000226688
203,4531.45,0.49608,0.45305,1.08263,0.83218,0.8163,0.86838,0.61312,0.94109,0.73371,1.6586,0.000222289,0.000222289,0.000222289
204,4552.71,0.52024,0.46537,1.11303,0.82444,0.84116,0.87101,0.62347,0.92561,0.76258,1.6412,0.000217889,0.000217889,0.000217889
205,4573.53,0.49432,0.44014,1.08696,0.82819,0.85963,0.90136,0.64596,0.94287,0.69792,1.64814,0.00021349,0.00021349,0.00021349
206,4594.72,0.49944,0.45446,1.08205,0.86032,0.80102,0.88229,0.63361,0.91368,0.69575,1.66816,0.00020909,0.00020909,0.00020909
207,4617.08,0.48842,0.44708,1.07883,0.85415,0.77912,0.88083,0.62704,0.90572,0.73665,1.64347,0.000204691,0.000204691,0.000204691
208,4638.7,0.50884,0.46619,1.09964,0.80296,0.85013,0.89314,0.63465,0.92456,0.69941,1.63006,0.000200291,0.000200291,0.000200291
209,4659.25,0.49052,0.44721,1.08304,0.87684,0.78504,0.87846,0.61997,0.96349,0.72749,1.68368,0.000195892,0.000195892,0.000195892
210,4679.58,0.47693,0.44928,1.07581,0.83502,0.85023,0.8919,0.62549,0.93519,0.71139,1.68362,0.000191492,0.000191492,0.000191492
211,4700.9,0.49373,0.44594,1.08844,0.85816,0.8562,0.90292,0.62331,0.93679,0.70453,1.67793,0.000187092,0.000187092,0.000187092
212,4722.96,0.48538,0.43429,1.06551,0.86006,0.82346,0.89624,0.6125,0.96295,0.74222,1.71906,0.000182693,0.000182693,0.000182693
213,4747.1,0.51369,0.45334,1.10309,0.84441,0.80986,0.87622,0.60501,0.9181,0.80865,1.65109,0.000178293,0.000178293,0.000178293
214,4770.07,0.51235,0.45019,1.09493,0.87826,0.78042,0.87719,0.62483,0.90576,0.75136,1.63871,0.000173894,0.000173894,0.000173894
215,4791.13,0.49292,0.43386,1.09163,0.83956,0.81656,0.8806,0.62129,0.93459,0.73137,1.66483,0.000169494,0.000169494,0.000169494
216,4812.61,0.47988,0.4462,1.06416,0.81106,0.8532,0.89147,0.62118,0.92791,0.76192,1.67992,0.000165095,0.000165095,0.000165095
217,4833.86,0.46731,0.42192,1.06875,0.84003,0.81915,0.8943,0.62891,0.93125,0.75312,1.69919,0.000160695,0.000160695,0.000160695
218,4855.73,0.49139,0.45023,1.08909,0.86074,0.84375,0.90398,0.62543,0.95275,0.701,1.71323,0.000156295,0.000156295,0.000156295
219,4879.48,0.48897,0.43778,1.09005,0.80935,0.84809,0.88723,0.62561,0.93988,0.69939,1.70102,0.000151896,0.000151896,0.000151896
220,4901.41,0.47807,0.44528,1.07459,0.80205,0.83206,0.87372,0.61494,0.94909,0.71575,1.70297,0.000147496,0.000147496,0.000147496
221,4922.59,0.49178,0.43209,1.07756,0.84192,0.84369,0.88882,0.61502,0.97639,0.70718,1.73234,0.000143097,0.000143097,0.000143097
222,4945.91,0.47181,0.42782,1.06596,0.81744,0.84933,0.89063,0.61824,0.95619,0.73254,1.70542,0.000138697,0.000138697,0.000138697
223,4967.6,0.46903,0.41623,1.07119,0.8514,0.81877,0.89101,0.61894,0.95643,0.74249,1.69473,0.000134298,0.000134298,0.000134298
224,4990.48,0.48519,0.41437,1.08119,0.875,0.79311,0.89279,0.61604,0.97908,0.71032,1.72055,0.000129898,0.000129898,0.000129898
225,5011.69,0.45221,0.39414,1.05959,0.8416,0.84111,0.90242,0.63074,0.9573,0.68961,1.70706,0.000125499,0.000125499,0.000125499
226,5033.24,0.47474,0.41733,1.07803,0.83338,0.85024,0.88903,0.6334,0.93589,0.69937,1.68264,0.000121099,0.000121099,0.000121099
227,5053.84,0.48452,0.43793,1.08244,0.89428,0.78233,0.89133,0.62397,0.95882,0.72146,1.70714,0.000116699,0.000116699,0.000116699
228,5074.28,0.46977,0.4184,1.06946,0.899,0.79564,0.89616,0.63045,0.95834,0.72211,1.71375,0.0001123,0.0001123,0.0001123
229,5097.68,0.46197,0.41441,1.05975,0.88239,0.80725,0.90231,0.63081,0.95068,0.70547,1.70709,0.0001079,0.0001079,0.0001079
230,5119.45,0.46796,0.42807,1.07383,0.91514,0.78874,0.90665,0.63296,0.94195,0.69313,1.70588,0.000103501,0.000103501,0.000103501
231,5143.22,0.46322,0.41181,1.06026,0.89111,0.82738,0.90437,0.63071,0.94696,0.69736,1.71302,9.91012e-05,9.91012e-05,9.91012e-05
232,5164.51,0.47537,0.40783,1.08123,0.87833,0.84252,0.89928,0.62836,0.94477,0.70603,1.72186,9.47016e-05,9.47016e-05,9.47016e-05
233,5185.89,0.48135,0.42108,1.07945,0.8882,0.82702,0.90742,0.63519,0.9285,0.69832,1.69384,9.03021e-05,9.03021e-05,9.03021e-05
234,5209.34,0.4483,0.4053,1.06613,0.82427,0.85232,0.90228,0.63704,0.92386,0.7031,1.67623,8.59025e-05,8.59025e-05,8.59025e-05
235,5230.8,0.45942,0.40696,1.06476,0.86836,0.82478,0.90039,0.63708,0.92516,0.69719,1.66748,8.1503e-05,8.1503e-05,8.1503e-05
236,5251.67,0.45893,0.41854,1.06565,0.87652,0.83186,0.90233,0.63476,0.93047,0.70807,1.67345,7.71034e-05,7.71034e-05,7.71034e-05
237,5272.94,0.45107,0.40806,1.05111,0.885,0.82952,0.90121,0.63399,0.92344,0.71033,1.66814,7.27038e-05,7.27038e-05,7.27038e-05
238,5294.76,0.45042,0.40666,1.06206,0.88867,0.82147,0.9006,0.64325,0.90583,0.68714,1.64858,6.83043e-05,6.83043e-05,6.83043e-05
239,5318.51,0.46435,0.40694,1.06187,0.90204,0.8244,0.9057,0.64925,0.90762,0.66935,1.65285,6.39047e-05,6.39047e-05,6.39047e-05
240,5341.41,0.44275,0.40803,1.05426,0.87711,0.84806,0.91106,0.64263,0.9085,0.67562,1.66003,5.95052e-05,5.95052e-05,5.95052e-05
241,5366.41,0.3103,0.26345,0.97685,0.86594,0.83563,0.90216,0.63316,0.91727,0.67148,1.68168,5.51056e-05,5.51056e-05,5.51056e-05
242,5388.16,0.3153,0.24759,0.98337,0.84138,0.83625,0.89216,0.62917,0.91747,0.68596,1.69721,5.0706e-05,5.0706e-05,5.0706e-05
243,5409.99,0.29201,0.23802,0.95991,0.82453,0.83876,0.89241,0.62562,0.92783,0.69458,1.72379,4.63065e-05,4.63065e-05,4.63065e-05
244,5430.73,0.29019,0.22502,0.96921,0.83052,0.84176,0.90307,0.63144,0.92266,0.69227,1.69983,4.19069e-05,4.19069e-05,4.19069e-05
245,5450.39,0.29503,0.22129,0.97332,0.8214,0.85838,0.90348,0.6309,0.92739,0.68889,1.70305,3.75074e-05,3.75074e-05,3.75074e-05
246,5471.33,0.28119,0.225,0.9625,0.85364,0.84639,0.90477,0.62386,0.9325,0.67959,1.71339,3.31078e-05,3.31078e-05,3.31078e-05
247,5492.14,0.28229,0.23213,0.95822,0.86743,0.83491,0.90418,0.62849,0.91986,0.68712,1.69792,2.87082e-05,2.87082e-05,2.87082e-05
248,5512.69,0.28127,0.22247,0.95886,0.86496,0.84274,0.90245,0.63048,0.92667,0.69654,1.70278,2.43087e-05,2.43087e-05,2.43087e-05
249,5533.73,0.28035,0.21529,0.9553,0.8602,0.85986,0.90147,0.62866,0.92779,0.69436,1.70882,1.99091e-05,1.99091e-05,1.99091e-05
250,5560.23,0.27309,0.2221,0.95682,0.84739,0.84884,0.89221,0.62575,0.92975,0.68438,1.71063,1.55096e-05,1.55096e-05,1.55096e-05
